Player,OPS,HR,BattingAvg,RBI,Position,Team,Salary
Cal Raleigh,0.948,60,0.247,125,C,Mariners,2666667
Kyle Schwarber,0.928,56,0.24,132,DH,Phillies,20000000
Shohei Ohtani,1.014,55,0.282,102,DH/RHP,Dodgers,28213523
Aaron Judge,1.145,53,0.331,114,OF,Yankees,40000000
Junior Caminero,0.846,45,0.264,110,3B,Rays,764100
Juan Soto,0.921,43,0.263,105,OF,Mets,61875000
Pete Alonso,0.871,38,0.272,126,1B,Mets,30000000
Jo Adell,0.778,37,0.236,98,OF,Angels,2100000
Riley Greene,0.806,36,0.258,111,OF,Tigers,812400
Taylor Ward,0.792,36,0.228,103,OF,Angels,7825000
Byron Buxton,0.878,35,0.264,83,OF,Twins,15142857
Rafael Devers,0.851,35,0.252,109,DH,Red Sox,25813052
Michael Busch,0.866,34,0.261,90,1B,Cubs,780500
Trent Grisham,0.812,34,0.235,74,OF,Yankees,5000000
Vinnie Pasquantino,0.798,32,0.264,113,1B,Royals,793250
George Springer,0.959,32,0.309,84,OF,Blue Jays,24166667
Seiya Suzuki,0.804,32,0.245,103,OF,Cubs,19000000
Corbin Carroll,0.884,31,0.259,84,OF,Diamondbacks,5625000
Pete Crow-Armstrong,0.768,31,0.247,95,OF,Cubs,771000
Hunter Goodman,0.843,31,0.278,91,OF,Rockies,765000
Shea Langeliers,0.861,31,0.277,72,C,Athletics,770000
Francisco Lindor,0.812,31,0.267,86,SS,Mets,32477639
Brandon Lowe,0.784,31,0.256,83,2B,Rays,10500000
Spencer Torkelson,0.789,31,0.24,78,1B,Tigers,785700
James Wood,0.825,31,0.256,94,OF,Nationals,764600
Willy Adames,0.739,30,0.225,87,SS,Giants,13142857
Salvador Perez,0.73,30,0.236,100,C,Royals,21849212
Brent Rooker,0.814,30,0.262,89,OF,Athletics,4000000
Cody Bellinger,0.814,29,0.272,98,OF,Yankees,27500000
Matt Olson,0.85,29,0.272,95,1B,Braves,22000000
Christian Yelich,0.795,29,0.264,103,OF,Brewers,24092771
Ketel Marte,0.893,28,0.283,72,2B,Diamondbacks,19600000
Randy Arozarena,0.76,27,0.238,76,OF,Mariners,11300000
Bryce Harper,0.844,27,0.261,75,1B,Phillies,27538462
Manny Machado,0.795,27,0.275,95,3B,Padres,17090909
Kyle Manzardo,0.768,27,0.234,70,DH,Guardians,763200
Andy Pages,0.774,27,0.272,86,OF,Dodgers,770000
