Player,OPS,HR,BattingAvg,RBI,Position,Team,Salary,OFF,WAR
Cal Raleigh,0.948,60,0.247,125,C,Mariners,2666667,7.7,7.3
Kyle Schwarber,0.928,56,0.24,132,DH,Phillies,20000000,4.9,4.7
Shohei Ohtani,1.014,55,0.282,102,DH/RHP,Dodgers,28213523,6.6,7.7
Aaron Judge,1.145,53,0.331,114,OF,Yankees,40000000,9.4,9.7
Junior Caminero,0.846,45,0.264,110,3B,Rays,764100,4.9,4.5
Juan Soto,0.921,43,0.263,105,OF,Mets,61875000,7.0,6.2
Pete Alonso,0.871,38,0.272,126,1B,Mets,30000000,4.4,3.4
Riley Greene,0.806,36,0.258,111,OF,Tigers,812400,2.8,2.1
Taylor Ward,0.792,36,0.228,103,OF,Angels,7825000,3.0,2.7
Byron Buxton,0.878,35,0.264,83,OF,Twins,15142857,5.4,4.9
Rafael Devers,0.851,35,0.252,109,DH,Red Sox,25813052,3.9,4.0
Michael Busch,0.866,34,0.261,90,1B,Cubs,780500,4.4,4.5
Trent Grisham,0.812,34,0.235,74,OF,Yankees,5000000,4.6,3.5
Vinnie Pasquantino,0.798,32,0.264,113,1B,Royals,793250,2.5,2.4
George Springer,0.959,32,0.309,84,OF,Blue Jays,24166667,5.5,4.8
Seiya Suzuki,0.804,32,0.245,103,OF,Cubs,19000000,3.2,2.6
Corbin Carroll,0.884,31,0.259,84,OF,Diamondbacks,5625000,5.0,5.8
Pete Crow-Armstrong,0.768,31,0.247,95,OF,Cubs,771000,4.4,6.0
Hunter Goodman,0.843,31,0.278,91,OF,Rockies,765000,3.8,3.7
Shea Langeliers,0.861,31,0.277,72,C,Athletics,770000,4.2,3.9
Francisco Lindor,0.812,31,0.267,86,SS,Mets,32477639,6.0,5.8
Spencer Torkelson,0.789,31,0.24,78,1B,Tigers,785700,2.3,2.3
James Wood,0.825,31,0.256,94,OF,Nationals,764600,3.6,3.7
Willy Adames,0.739,30,0.225,87,SS,Giants,13142857,4.0,3.6
Brent Rooker,0.814,30,0.262,89,OF,Athletics,4000000,2.8,2.3
Cody Bellinger,0.814,29,0.272,98,OF,Yankees,27500000,3.8,5.0
Matt Olson,0.85,29,0.272,95,1B,Braves,22000000,4.3,6.1
Christian Yelich,0.795,29,0.264,103,OF,Brewers,24092771,3.0,3.1
Ketel Marte,0.893,28,0.283,72,2B,Diamondbacks,19600000,4.3,4.4
Randy Arozarena,0.76,27,0.238,76,OF,Mariners,11300000,4.1,3.9
Bryce Harper,0.844,27,0.261,75,1B,Phillies,27538462,3.4,3.2
Manny Machado,0.795,27,0.275,95,3B,Padres,17090909,3.8,4.1
Andy Pages,0.774,27,0.272,86,OF,Dodgers,770000,3.0,3.8
Zach Neto,0.793,26,0.257,62,SS,Angels,780000,3.7,5.1
Jorge Polanco,0.821,26,0.265,78,2B,Mariners,7000000,3.0,2.6
Ben Rice,0.836,26,0.255,65,DH,Yankees,782800,2.7,2.2
Brandon Nimmo,0.76,25,0.262,92,OF,Mets,20500000,2.6,2.9
Tyler Soderstrom,0.82,25,0.276,93,1B,Athletics,765000,3.3,4.4
Trevor Story,0.741,25,0.263,96,SS,Red Sox,22500000,4.5,3.8
Kyle Stowers,0.912,25,0.288,73,OF,Marlins,768200,3.5,3.6
Freddie Freeman,0.869,24,0.295,90,1B,Dodgers,23353561,4.2,3.5
Dansby Swanson,0.717,24,0.244,77,SS,Cubs,28000000,3.8,4.5
Ian Happ,0.762,23,0.243,79,OF,Cubs,21000000,3.1,4.0
Wilyer Abreu,0.786,22,0.247,69,OF,Red Sox,780000,1.6,3.2
Elly De La Cruz,0.776,22,0.264,86,SS,Reds,770000,4.1,3.6
